model,size,color,leather,hardware,year,condition,price
Birkin,25,Bleu Brume,Togo,Palladium,2018,Used,12400
Birkin,25,Bleu Saphir,Swift,Palladium,2017,Used,12850
Birkin,25,Rouge Casaque,Togo,Palladium,2020,Used,12950
Birkin,25,Craie,Clemence,Palladium,2022,Used,12950
Birkin,25,Rouge H,Togo,Rose Gold,2021,Used,13350
Birkin,25,Bleu Zellige,Togo,Rose Gold,2023,Used,13450
Birkin,25,Vert Anis,Epsom,Rose Gold,2020,Used,13550
Birkin,25,Vert Anis,Swift,Palladium,2019,Used,13750
Birkin,25,Chocolat,Swift,Palladium,2025,Used,13950
Birkin,25,Etoupe,Swift,Palladium,2023,Used,14050
Birkin,25,Bleu Brume,Epsom,Palladium,2017,Good,14500
Birkin,25,Chocolat,Epsom,Gold,2019,Good,14700
Birkin,25,Chocolat,Swift,Gold,2024,Used,14750
Birkin,25,Prune,Epsom,Palladium,2019,Good,15450
Birkin,25,Anemone,Chevre,Palladium,2024,Used,15800
Birkin,25,Gris Etain,Swift,Gold,2020,Good,16150
Birkin,25,Blanc,Swift,Rose Gold,2018,Good,16750
Birkin,25,Prune,Clemence,Palladium,2025,Good,16800
Birkin,25,Bleu Saphir,Epsom,Gold,2017,Very Good,16950
Birkin,25,Vert Fonce,Chevre,Gold,2018,Good,17000
Birkin,25,Prune,Epsom,Gold,2022,Good,17050
Birkin,25,Orange,Togo,Palladium,2017,Very Good,17050
Birkin,25,Vert Anis,Swift,Rose Gold,2018,Good,17650
Birkin,25,Anemone,Togo,Palladium,2018,Very Good,17750
Birkin,25,Gold,Chevre,Rose Gold,2021,Good,17800
Birkin,25,Rouge Casaque,Togo,Rose Gold,2018,Very Good,18300
Birkin,25,Orange,Togo,Gold,2021,Very Good,18400
Birkin,25,Blanc,Swift,Palladium,2019,Very Good,18500
Birkin,25,Jaune Ambre,Chevre,Rose Gold,2023,Good,18650
Birkin,25,Rose,Chevre,Gold,2019,Very Good,18750
Birkin,25,Anemone,Epsom,Palladium,2023,Very Good,18900
Birkin,25,Etoupe,Epsom,Palladium,2023,Very Good,18950
Birkin,25,Gris Etain,Clemence,Gold,2025,Excellent,20000
Birkin,25,Bleu Brume,Chevre,Gold,2017,Very Good,20100
Birkin,25,Jaune Ambre,Epsom,Palladium,2020,Excellent,20450
Birkin,25,Havane,Swift,Palladium,2021,Excellent,20550
Birkin,25,Craie,Swift,Rose Gold,2025,Very Good,20600
Birkin,25,Bleu Nuit,Epsom,Gold,2018,New,20700
Birkin,25,Mauve Sylvestre,Clemence,Gold,2025,Excellent,20700
Birkin,25,Rose,Epsom,Rose Gold,2017,Excellent,20800
Birkin,25,Prune,Epsom,Rose Gold,2019,Excellent,20850
Birkin,25,Pink,Swift,Rose Gold,2019,Excellent,20900
Birkin,25,Noir,Clemence,Rose Gold,2021,New,21750
Birkin,25,Craie,Epsom,Rose Gold,2025,Excellent,22000
Birkin,25,Sakura,Clemence,Palladium,2022,New,22650
Birkin,25,Vert Bosphore,Clemence,Rose Gold,2022,New,22750
Birkin,25,Bleu Saphir,Epsom,Gold,2023,New,23200
Birkin,25,Havane,Chevre,Rose Gold,2022,Excellent,23500
Birkin,25,Noir,Swift,Gold,2019,New,23500
Birkin,25,Rouge Casaque,Togo,Gold,2025,New,24000
Birkin,25,Gris Etain,Clemence,Gold,2025,New,24100
Birkin,25,Gris Etain,Togo,Gold,2024,New,24200
Birkin,25,Blanc,Chevre,Palladium,2022,New,24300
Birkin,25,Orange,Swift,Gold,2025,Excellent,24700
Birkin,25,Rouge Casaque,Swift,Gold,2022,New,25150
Birkin,25,Sakura,Togo,Rose Gold,2024,New,25450
Birkin,25,Etoupe,Chevre,Gold,2022,New,25550
Birkin,25,Jaune Ambre,Chevre,Gold,2021,New,25600
Birkin,25,Anemone,Chevre,Gold,2023,New,25650
Birkin,25,Chocolat,Chevre,Rose Gold,2025,New,28550
Birkin,25,Pink,Ostrich,Rose Gold,2025,Very Good,64150
Birkin,25,Bleu Saphir,Ostrich,Rose Gold,2025,Very Good,68700
Birkin,25,Pink,Ostrich,Gold,2022,New,73550
Birkin,25,Bleu Nuit,Lizard,Palladium,2017,New,81200
Birkin,25,Jaune Ambre,Lizard,Palladium,2025,Excellent,83200
Birkin,25,Gris Etain,Crocodile,Rose Gold,2017,Very Good,88950
Birkin,25,Rouge Casaque,Alligator,Gold,2025,Excellent,96150
Birkin,30,Pink,Epsom,Palladium,2021,Used,11300
Birkin,30,Etoupe,Epsom,Palladium,2017,Used,11550
Birkin,30,Bleu Zellige,Clemence,Palladium,2025,Used,11900
Birkin,30,Vert Bosphore,Togo,Rose Gold,2022,Used,12350
Birkin,30,Etoupe,Swift,Palladium,2022,Used,12800
Birkin,30,Bleu Zellige,Chevre,Gold,2023,Used,12950
